Actual_Price,Predicted_Price,Error
1999.0,2781.272501953125,782.2725019531249
330.0,816.5031064453125,486.5031064453125
1000.0,2710.3720664062503,1710.3720664062503
500.0,1783.6518046875,1283.6518046875
780.0,1904.9002734375,1124.9002734375
7000.0,9958.0711640625,2958.0711640624995
3000.0,4936.5353671875,1936.5353671875
431.0,1034.9201689453125,603.9201689453125
4000.0,2753.11095703125,-1246.88904296875
720.0,2677.2833671874996,1957.2833671874996
2998.0,1669.031712890625,-1328.968287109375
1499.0,2364.4136542968745,865.4136542968745
700.0,1932.8431113281251,1232.8431113281251
578.0,1647.4427519531248,1069.4427519531248
300.0,1298.805861328125,998.805861328125
520.0,1243.3947656249998,723.3947656249998
1150.0,1434.9729023437499,284.97290234374987
1100.0,4215.4384687500005,3115.4384687500005
2400.0,11741.92940625,9341.92940625
1300.0,2311.4869453125,1011.4869453125002
500.0,745.9585136718749,245.95851367187493
5399.0,2796.5122499999998,-2602.4877500000002
3888.0,1869.41682421875,-2018.58317578125
488.0,1207.7863740234375,719.7863740234375
3299.0,3495.315370513916,196.31537051391615
240.0,722.3741674804687,482.3741674804687
1888.0,2191.6585898437497,303.6585898437497
1100.0,1722.70359375,622.70359375
1288.0,2151.422513671875,863.4225136718751
1300.0,2409.388166015625,1109.3881660156248
1450.0,1805.8662187500001,355.86621875000014
1000.0,1167.9274057617188,167.92740576171877
7700.0,5322.335625000001,-2377.6643749999994
888.0,2310.6617958984375,1422.6617958984375
666.0,1192.4271240234375,526.4271240234375
1388.0,2963.362048828125,1575.362048828125
1300.0,2752.7872851562497,1452.7872851562497
1788.0,2566.4902734375,778.4902734375
1850.0,3141.957779296875,1291.9577792968748
2000.0,2939.659716796875,939.6597167968748
520.0,1373.8122246093749,853.8122246093749
4999.0,3792.49913671875,-1206.50086328125
1499.0,2265.3500683593747,766.3500683593747
249.0,662.2627338867187,413.2627338867187
500.0,775.3927133789063,275.39271337890625
250.0,940.3428793945312,690.3428793945312
300.0,880.2134926757813,580.2134926757813
3154.0,5317.4135390625,2163.4135390624997
4712.0,7702.187273437499,2990.1872734374992
611.0,935.1159697265624,324.1159697265624
352.0,1220.788916015625,868.7889160156251
236.0,703.174072265625,467.174072265625
400.0,1190.4236044921875,790.4236044921875
974.0,1574.4265546875,600.4265546874999
2888.0,1837.5868330078124,-1050.4131669921876
550.0,1735.734849609375,1185.734849609375
4200.0,3590.886767578125,-609.1132324218752
1500.0,3752.7399609375,2252.7399609375
800.0,2056.2278203124997,1256.2278203124997
2466.0,1355.188646484375,-1110.811353515625
600.0,2117.6814726562498,1517.6814726562498
527.0,1152.4034868164063,625.4034868164063
2300.0,2653.5730546875,353.5730546875002
600.0,570.8744033203125,-29.125596679687533
3666.0,2378.0078085937503,-1287.9921914062497
3500.0,1527.6200830078124,-1972.3799169921876
4000.0,3939.0931171875,-60.906882812500044
13333.0,12147.242203124999,-1185.757796875001
210.0,821.988123046875,611.988123046875
1160.0,3420.5550703125,2260.5550703125
380.0,1264.3413427734376,884.3413427734376
3100.0,3426.7057302246094,326.7057302246094
900.0,1480.51170703125,580.5117070312499
350.0,775.2252304687499,425.22523046874994
2200.0,2931.433822265625,731.4338222656252
2588.0,5127.68572265625,2539.6857226562497
883.0,1904.4896923828123,1021.4896923828123
2588.0,3396.900263671875,808.9002636718751
1199.0,2460.813626953125,1261.813626953125
4700.0,4534.767063720703,-165.23293627929706
3800.0,5434.13068359375,1634.1306835937503
1300.0,2447.568216796875,1147.5682167968748
720.0,1502.1192626953125,782.1192626953125
600.0,1726.5962314453127,1126.5962314453127
650.0,1435.826888671875,785.8268886718749
850.0,2670.2309472656248,1820.2309472656248
688.0,1586.0518857421876,898.0518857421876
599.0,682.6025976562499,83.60259765624994
999.0,2922.86028515625,1923.86028515625
1500.0,2354.179470703125,854.1794707031249
2600.0,2988.8811269531247,388.88112695312475
1800.0,2052.033052734375,252.0330527343749
780.0,1478.0570419921876,698.0570419921876
1000.0,1673.9627197265625,673.9627197265625
5500.0,5052.29225390625,-447.70774609374985
988.0,1266.706428222656,278.7064282226561
500.0,2360.0463398437496,1860.0463398437496
400.0,774.273919921875,374.27391992187495
450.0,1343.8257568359375,893.8257568359375
2300.0,3087.4169824218748,787.4169824218748
679.0,3949.4418515625,3270.4418515625
550.0,1508.1025078124999,958.1025078124999
2650.0,6892.008820312501,4242.008820312501
200.0,638.5269689941406,438.5269689941406
2488.0,2177.651625,-310.34837500000003
1600.0,1915.832478515625,315.8324785156251
350.0,1097.3246015625,747.3246015625
789.0,1388.443857421875,599.443857421875
2799.0,2253.173642578125,-545.826357421875
1399.0,1837.75969921875,438.75969921875003
600.0,1046.6008256835937,446.6008256835937
5000.0,3754.4168437499998,-1245.5831562500002
1400.0,1543.395703125,143.39570312499995
1100.0,1728.2304931640624,628.2304931640624
3188.0,1866.74794921875,-1321.25205078125
1350.0,2090.321138671875,740.3211386718749
3700.0,2424.9573281249995,-1275.0426718750005
258.0,908.332828125,650.332828125
247.0,651.2837900390625,404.2837900390625
416.0,1197.29220703125,781.29220703125
1500.0,3012.737912109375,1512.737912109375
1488.0,3197.30464453125,1709.3046445312498
700.0,1864.826501953125,1164.826501953125
3500.0,1776.9923613281248,-1723.0076386718752
2980.0,4878.546984375,1898.5469843749997
2900.0,2617.07821875,-282.9217812500001
2699.0,2441.9995371093746,-257.0004628906254
3000.0,1660.254556640625,-1339.745443359375
420.0,1710.46437890625,1290.46437890625
500.0,1598.413306640625,1098.413306640625
328.0,828.0981225585938,500.0981225585938
3000.0,2646.225298828125,-353.7747011718752
2299.0,1681.176556640625,-617.823443359375
2300.0,1558.801248046875,-741.1987519531251
300.0,739.0953090820312,439.09530908203124
1000.0,3330.8419921874997,2330.8419921874997
1642.0,2397.0292207031252,755.0292207031252
1688.0,3328.803779296875,1640.8037792968748
1030.0,1331.5398046875,301.5398046875
4888.0,7212.1023984375,2324.1023984374997
2888.0,4687.53512109375,1799.5351210937497
1111.0,4919.108238281249,3808.108238281249
2099.0,6857.959593749999,4758.959593749999
950.0,1927.771072265625,977.771072265625
780.0,3283.92740625,2503.92740625
450.0,1007.38519921875,557.38519921875
1500.0,1623.033228515625,123.03322851562507
