Actual_Price,Predicted_Price,Error
438.0,326.75827,-111.24172973632812
450.0,515.5514,65.5513916015625
999.0,1337.2227,338.22265625
2499.0,1912.499,-586.5009765625
155.0,128.53705,-26.46295166015625
9000.0,3204.0657,-5795.934326171875
210.0,148.09467,-61.90533447265625
1200.0,2065.8066,865.806640625
580.0,734.3128,154.31280517578125
4900.0,2509.9653,-2390.03466796875
1050.0,916.37646,-133.62353515625
350.0,289.38742,-60.612579345703125
800.0,1123.0376,323.03759765625
1800.0,914.4162,-885.5838012695312
1300.0,1629.6263,329.6263427734375
800.0,1399.2389,599.2388916015625
666.0,399.141,-266.8590087890625
2106.0,1215.0597,-890.9403076171875
230.0,331.64154,101.64154052734375
320.0,610.9554,290.95538330078125
1788.0,1297.5029,-490.4970703125
800.0,965.1178,165.1177978515625
1288.0,1518.8564,230.8564453125
600.0,945.5766,345.57659912109375
488.0,453.4521,-34.54791259765625
1380.0,975.33405,-404.66595458984375
2350.0,1158.8799,-1191.1201171875
1500.0,1237.032,-262.968017578125
688.0,717.95337,29.953369140625
999.0,973.7255,-25.27447509765625
330.0,518.83746,188.83746337890625
550.0,764.5007,214.50067138671875
1100.0,1263.8192,163.8192138671875
555.0,691.9765,136.97650146484375
450.0,452.3009,2.3009033203125
600.0,754.4201,154.42010498046875
900.0,1170.9841,270.984130859375
280.0,355.12604,75.12603759765625
788.0,1671.8071,883.80712890625
1999.0,1244.4612,-754.538818359375
2199.0,1205.896,-993.10400390625
2850.0,2984.547,134.547119140625
1980.0,845.3701,-1134.6298828125
1000.0,1394.9583,394.958251953125
765.0,901.4565,136.45648193359375
999.0,707.8132,-291.18682861328125
1500.0,1631.9279,131.9278564453125
780.0,372.7513,-407.2486877441406
1388.0,1245.7875,-142.2125244140625
788.0,999.76904,211.76904296875
600.0,747.4246,147.42462158203125
150.0,289.57068,139.5706787109375
600.0,871.038,271.03802490234375
1200.0,1415.4431,215.443115234375
266.0,280.17816,14.17816162109375
1300.0,821.602,-478.39801025390625
60.0,189.69952,129.69952392578125
688.0,504.37936,-183.62063598632812
550.0,522.8154,-27.1845703125
288.0,427.88864,139.88864135742188
260.0,223.1551,-36.84489440917969
1000.0,451.38342,-548.6165771484375
5200.0,6451.3804,1251.38037109375
298.0,470.94357,172.94357299804688
828.0,414.84717,-413.15283203125
800.0,905.88763,105.88763427734375
1314.0,785.77966,-528.2203369140625
899.0,1280.8477,381.84765625
299.0,372.60736,73.60736083984375
400.0,401.55215,1.552154541015625
1688.0,1146.0444,-541.95556640625
1050.0,1173.4647,123.4647216796875
1580.0,1344.8057,-235.1943359375
988.0,1286.212,298.2120361328125
578.0,788.05383,210.0538330078125
350.0,584.4332,234.4332275390625
100.0,409.13687,309.1368713378906
300.0,277.51337,-22.48663330078125
367.0,189.55345,-177.44654846191406
2555.0,2891.5327,336.53271484375
